Date,portfolio_return
2023-07-03,0.0013141656876618276
2023-07-05,-0.002501885259115313
2023-07-06,0.007745754394869934
2023-07-07,0.0009836320822391338
2023-07-10,0.009305980895909189
2023-07-11,0.006792947578581214
2023-07-12,0.0017779004538834367
2023-07-13,-0.011779282025646503
2023-07-14,-0.00719734153237277
2023-07-17,-0.014924280185320007
2023-07-18,0.01376876826018342
2023-07-19,0.0027022731862432654
2023-07-20,0.011231681184497081
2023-07-21,0.007959731603286661
2023-07-24,-0.0019102346139381783
2023-07-25,0.027830468162683655
2023-07-26,-0.005692802267833721
2023-07-27,-0.014980382104968663
2023-07-28,0.004328062722770614
2023-07-31,0.02216141420828621
2023-08-01,0.032850622748535716
2023-08-02,-0.012426971720177305
2023-08-03,0.0004990378260133627
2023-08-04,-0.012896239680163565
2023-08-07,0.006689691388066887
2023-08-08,0.04324123921249143
2023-08-09,-0.0009314044254800197
2023-08-10,0.003665014433470712
2023-08-11,0.018203838450131224
2023-08-14,0.002719488695813597
2023-08-15,0.030662276274518875
2023-08-16,0.010159930288035636
2023-08-17,-0.009079125269533951
2023-08-18,-0.00868849486642657
2023-08-21,-0.005971299449343799
2023-08-22,-0.004234577754053753
2023-08-23,0.007997235265546507
2023-08-24,-0.00186304772716692
2023-08-25,0.012010750708150934
2023-08-28,0.005909661677219399
2023-08-29,-0.0048201280049806755
2023-08-30,0.01759964314343742
2023-08-31,0.015223446683599758
2023-09-01,-0.0026510779757171893
2023-09-05,-0.0029833353086526648
2023-09-06,-0.013855048608542406
2023-09-07,-0.007333756219192597
2023-09-08,0.006571851256930564
2023-09-11,0.011833982341089969
2023-09-12,-0.0006255963598330878
2023-09-13,0.007601775762256027
2023-09-14,0.005890949254589082
2023-09-15,-0.003604160415465409
2023-09-18,-0.009073434899522741
2023-09-19,-0.010140418170729219
2023-09-20,-0.0013611287696940755
2023-09-21,0.002435966160660431
2023-09-22,0.005436391010506087
2023-09-25,0.002495672610423518
2023-09-26,-0.0013432267110549184
2023-09-27,0.004826834749095099
2023-09-28,0.003981803638236969
2023-09-29,-0.01397773666727056
2023-10-02,0.014990774069283841
2023-10-03,-0.02070695188591907
2023-10-04,-0.012407942602154783
2023-10-05,-0.015124844997879312
2023-10-06,-0.004708256464475587
2023-10-09,0.006963011170735935
2023-10-10,-0.0017153832386236322
2023-10-11,-0.027682785787968713
2023-10-12,0.003962648972962959
2023-10-13,0.015046703017731589
2023-10-16,0.008775375264830024
2023-10-17,0.008543268882288926
2023-10-18,0.008052478420201722
2023-10-19,0.008391930006692055
2023-10-20,-0.009786852691127598
2023-10-23,0.00572570130344381
2023-10-24,0.005664672923917088
2023-10-25,0.028383072762877756
2023-10-26,-0.0018061415744681168
2023-10-27,-0.006059774389466014
2023-10-30,-0.0015015484964819008
2023-10-31,-0.03655445515371708
2023-11-01,0.016499946174382604
2023-11-02,0.007716123881766436
2023-11-03,-0.01448793311223254
2023-11-06,0.0015631020211065555
2023-11-07,-0.002687911809600778
2023-11-08,-0.008958749267185496
2023-11-09,0.004653984133489587
2023-11-10,-0.007266565219884211
2023-11-13,0.007673091717695708
2023-11-14,0.01332747924401776
2023-11-15,0.00490497951124543
2023-11-16,0.01049771735562592
2023-11-17,-0.005765969040785681
2023-11-20,0.007797745148519775
2023-11-21,0.007532888553026589
2023-11-22,0.0030591484848075867
2023-11-24,-0.0018990808095334754
2023-11-27,0.013312565662864081
2023-11-28,0.007223208390148714
2023-11-29,-0.0034046644574867446
2023-11-30,0.004494174012753991
2023-12-01,-0.0038794323609472902
2023-12-04,-0.0022839539881052435
2023-12-05,0.0002551339605046613
2023-12-06,0.007358295361921828
2023-12-07,0.00157378193995175
2023-12-08,0.0036236260863751896
2023-12-11,-0.017446639044432246
2023-12-12,0.010344436822178341
2023-12-13,0.02775521122219309
2023-12-14,-0.004311774455982284
2023-12-15,-0.015800148074126625
2023-12-18,0.016776432035065972
2023-12-19,-0.00016628764696298773
2023-12-20,0.011610362641861513
2023-12-21,0.0027041387166272333
2023-12-22,0.006335625928066821
2023-12-26,-0.0003727292606063026
2023-12-27,0.005408695339804113
2023-12-28,-0.0052408464729055936
2023-12-29,0.0
